Route;From;Start;End;To;Trip;Duration;Distance;MinLay;VehGrp;ReliefPlace;ReliefTime
z091;ldnvin;6:32;7:10;lddleh;1001;0:38;13.362;0;V12S;ldnsta;6:46
z091;lddleh;6:25;7:03;ldnvin;1002;0:38;13.401;1;V12S;ldnsta;6:51
z091;ldnvin;6:57;7:39;lddleh;1003;0:42;13.362;0;V12S;ldnsta;7:11
z091;lddleh;6:55;7:36;ldnvin;1004;0:41;13.401;1;V12S;ldnsta;7:21
z091;ldnvin;7:25;8:08;lddleh;1005;0:43;13.362;0;V12S;ldnsta;7:39
z091;lddleh;7:23;8:08;ldnvin;1006;0:45;13.401;1;V12S;ldnsta;7:53
z091;ldnvin;7:54;8:38;lddleh;1007;0:44;13.362;0;V12S;ldnsta;8:09
z091;lddleh;7:53;8:38;ldnvin;1008;0:45;13.401;1;V12S;ldnsta;8:23
z091;ldnvin;8:25;9:09;lddleh;1009;0:44;13.362;0;V12S;ldnsta;8:40
z091;lddleh;8:24;9:09;ldnvin;1010;0:45;13.401;1;V12S;ldnsta;8:54
z091;ldnvin;8:55;9:39;lddleh;1011;0:44;13.362;0;V12S;ldnsta;9:10
z091;lddleh;8:54;9:38;ldnvin;1012;0:44;13.401;1;V12S;ldnsta;9:23
z091;ldnvin;9:25;10:09;lddleh;1013;0:44;13.362;0;V12S;ldnsta;9:40
z091;lddleh;9:24;10:08;ldnvin;1014;0:44;13.401;1;V12S;ldnsta;9:53
z091;ldnvin;9:55;10:39;lddleh;1015;0:44;13.362;0;V12S;ldnsta;10:10
z091;lddleh;9:54;10:38;ldnvin;1016;0:44;13.401;1;V12S;ldnsta;10:23
z091;ldnvin;10:25;11:09;lddleh;1017;0:44;13.362;0;V12S;ldnsta;10:40
z091;lddleh;10:24;11:08;ldnvin;1018;0:44;13.401;1;V12S;ldnsta;10:53
z091;ldnvin;10:55;11:39;lddleh;1019;0:44;13.362;0;V12S;ldnsta;11:10
z091;lddleh;10:54;11:38;ldnvin;1020;0:44;13.401;1;V12S;ldnsta;11:23
z091;ldnvin;11:25;12:09;lddleh;1021;0:44;13.362;0;V12S;ldnsta;11:40
z091;lddleh;11:24;12:08;ldnvin;1022;0:44;13.401;1;V12S;ldnsta;11:53
z091;ldnvin;11:55;12:39;lddleh;1023;0:44;13.362;0;V12S;ldnsta;12:10
z091;lddleh;11:54;12:38;ldnvin;1024;0:44;13.401;1;V12S;ldnsta;12:23
z091;ldnvin;12:25;13:09;lddleh;1025;0:44;13.362;0;V12S;ldnsta;12:40
z091;lddleh;12:24;13:08;ldnvin;1026;0:44;13.401;1;V12S;ldnsta;12:53
z091;ldnvin;12:55;13:39;lddleh;1027;0:44;13.362;0;V12S;ldnsta;13:10
z091;lddleh;12:54;13:38;ldnvin;1028;0:44;13.401;1;V12S;ldnsta;13:23
z091;ldnvin;13:25;14:09;lddleh;1029;0:44;13.362;0;V12S;ldnsta;13:40
z091;lddleh;13:24;14:08;ldnvin;1030;0:44;13.401;1;V12S;ldnsta;13:53
z091;ldnvin;13:55;14:39;lddleh;1031;0:44;13.362;0;V12S;ldnsta;14:10
z091;lddleh;13:54;14:38;ldnvin;1032;0:44;13.401;1;V12S;ldnsta;14:23
z091;ldnvin;14:25;15:09;lddleh;1033;0:44;13.362;0;V12S;ldnsta;14:40
z091;lddleh;14:24;15:08;ldnvin;1034;0:44;13.401;1;V12S;ldnsta;14:53
z091;ldnvin;14:55;15:39;lddleh;1035;0:44;13.362;0;V12S;ldnsta;15:10
z091;lddleh;14:54;15:38;ldnvin;1036;0:44;13.401;1;V12S;ldnsta;15:23
z091;ldnvin;15:25;16:09;lddleh;1037;0:44;13.362;0;V12S;ldnsta;15:40
z091;lddleh;15:24;16:08;ldnvin;1038;0:44;13.401;1;V12S;ldnsta;15:53
z091;ldnvin;15:55;16:39;lddleh;1039;0:44;13.362;0;V12S;ldnsta;16:10
z091;lddleh;15:54;16:39;ldnvin;1040;0:45;13.401;1;V12S;ldnsta;16:24
z091;ldnvin;16:25;17:09;lddleh;1041;0:44;13.362;0;V12S;ldnsta;16:40
z091;lddleh;16:24;17:09;ldnvin;1042;0:45;13.401;1;V12S;ldnsta;16:54
z091;ldnvin;16:55;17:39;lddleh;1043;0:44;13.362;0;V12S;ldnsta;17:10
z091;lddleh;16:54;17:39;ldnvin;1044;0:45;13.401;1;V12S;ldnsta;17:24
z091;ldnvin;17:25;18:09;lddleh;1045;0:44;13.362;0;V12S;ldnsta;17:40
z091;lddleh;17:24;18:09;ldnvin;1046;0:45;13.401;1;V12S;ldnsta;17:54
z091;ldnvin;17:55;18:39;lddleh;1047;0:44;13.362;0;V12S;ldnsta;18:10
z091;lddleh;17:54;18:38;ldnvin;1048;0:44;13.401;1;V12S;ldnsta;18:24
z091;ldnvin;18:31;19:13;lddleh;1049;0:42;13.362;0;V12S;ldnsta;18:46
z091;lddleh;18:24;19:08;ldnvin;1050;0:44;13.401;1;V12S;ldnsta;18:54
z091;lddleh;18:54;19:18;ldnsta;1052;0:24;9.007;4;V12S;;
z092;ldnvin;5:39;6:28;lddora;1001;0:49;17.573;0;V12S;ldnsta;5:59
z092;lddora;6:05;6:53;ldnvin;1002;0:48;17.95;1;V12S;ldnsta;6:36
z092;ldnvin;6:09;6:58;lddora;1003;0:49;17.573;0;V12S;ldnsta;6:29
z092;lddora;6:35;7:24;ldnvin;1004;0:49;17.95;1;V12S;ldnsta;7:06
z092;ldnvin;6:39;7:30;lddora;1005;0:51;17.573;0;V12S;ldnsta;6:59
z092;lddora;7:03;7:59;ldnvin;1006;0:56;17.95;1;V12S;ldnsta;7:38
z092;ldnvin;7:04;8:00;lddora;1007;0:56;17.573;0;V12S;ldnsta;7:25
z092;lddora;7:31;8:29;ldnvin;1008;0:58;17.95;1;V12S;ldnsta;8:08
z092;ldnvin;7:33;8:30;lddora;1009;0:57;17.573;0;V12S;ldnsta;7:55
z092;lddora;8:01;8:59;ldnvin;1010;0:58;17.95;1;V12S;ldnsta;8:38
z092;ldnvin;8:03;9:00;lddora;1011;0:57;17.573;0;V12S;ldnsta;8:25
z092;lddora;8:31;9:29;ldnvin;1012;0:58;17.95;1;V12S;ldnsta;9:08
z092;ldnvin;8:33;9:30;lddora;1013;0:57;17.573;0;V12S;ldnsta;8:55
z092;lddora;9:02;9:59;ldnvin;1014;0:57;17.95;1;V12S;ldnsta;9:38
z092;ldnvin;9:03;10:00;lddora;1015;0:57;17.573;0;V12S;ldnsta;9:25
z092;lddora;9:32;10:29;ldnvin;1016;0:57;17.95;1;V12S;ldnsta;10:08
z092;ldnvin;9:33;10:30;lddora;1017;0:57;17.573;0;V12S;ldnsta;9:55
z092;lddora;10:02;10:59;ldnvin;1018;0:57;17.95;1;V12S;ldnsta;10:38
z092;ldnvin;10:03;11:00;lddora;1019;0:57;17.573;0;V12S;ldnsta;10:25
z092;lddora;10:32;11:29;ldnvin;1020;0:57;17.95;1;V12S;ldnsta;11:08
z092;ldnvin;10:33;11:30;lddora;1021;0:57;17.573;0;V12S;ldnsta;10:55
z092;lddora;11:02;11:59;ldnvin;1022;0:57;17.95;1;V12S;ldnsta;11:38
z092;ldnvin;11:03;12:00;lddora;1023;0:57;17.573;0;V12S;ldnsta;11:25
z092;lddora;11:32;12:29;ldnvin;1024;0:57;17.95;1;V12S;ldnsta;12:08
z092;ldnvin;11:33;12:30;lddora;1025;0:57;17.573;0;V12S;ldnsta;11:55
z092;lddora;12:02;12:59;ldnvin;1026;0:57;17.95;1;V12S;ldnsta;12:38
z092;ldnvin;12:03;13:00;lddora;1027;0:57;17.573;0;V12S;ldnsta;12:25
z092;lddora;12:32;13:29;ldnvin;1028;0:57;17.95;1;V12S;ldnsta;13:08
z092;ldnvin;12:33;13:30;lddora;1029;0:57;17.573;0;V12S;ldnsta;12:55
z092;lddora;13:02;13:59;ldnvin;1030;0:57;17.95;1;V12S;ldnsta;13:38
z092;ldnvin;13:03;14:00;lddora;1031;0:57;17.573;0;V12S;ldnsta;13:25
z092;lddora;13:32;14:29;ldnvin;1032;0:57;17.95;1;V12S;ldnsta;14:08
z092;ldnvin;13:33;14:32;lddora;1033;0:59;17.573;0;V12S;ldnsta;13:55
z092;lddora;14:02;14:59;ldnvin;1034;0:57;17.95;1;V12S;ldnsta;14:38
z092;ldnvin;14:03;15:02;lddora;1035;0:59;17.573;0;V12S;ldnsta;14:25
z092;lddora;14:32;15:29;ldnvin;1036;0:57;17.95;1;V12S;ldnsta;15:08
z092;ldnvin;14:33;15:32;lddora;1037;0:59;17.573;0;V12S;ldnsta;14:55
z092;lddora;15:02;15:59;ldnvin;1038;0:57;17.95;1;V12S;ldnsta;15:38
z092;ldnvin;15:03;16:02;lddora;1039;0:59;17.573;0;V12S;ldnsta;15:25
z092;lddora;15:32;16:28;ldnvin;1040;0:56;17.95;1;V12S;ldnsta;16:08
z092;ldnvin;15:33;16:32;lddora;1041;0:59;17.573;0;V12S;ldnsta;15:55
z092;lddora;16:02;16:59;ldnvin;1042;0:57;17.95;1;V12S;ldnsta;16:39
z092;ldnvin;16:03;17:02;lddora;1043;0:59;17.573;0;V12S;ldnsta;16:25
z092;lddora;16:32;17:29;ldnvin;1044;0:57;17.95;1;V12S;ldnsta;17:09
z092;ldnvin;16:33;17:32;lddora;1045;0:59;17.573;0;V12S;ldnsta;16:55
z092;lddora;17:02;17:59;ldnvin;1046;0:57;17.95;1;V12S;ldnsta;17:39
z092;ldnvin;17:03;18:02;lddora;1047;0:59;17.573;0;V12S;ldnsta;17:25
z092;lddora;17:32;18:29;ldnvin;1048;0:57;17.95;1;V12S;ldnsta;18:09
z092;ldnvin;17:33;18:32;lddora;1049;0:59;17.573;0;V12S;ldnsta;17:55
z092;lddora;18:02;18:58;ldnvin;1050;0:56;17.95;1;V12S;ldnsta;18:39
z092;ldnvin;18:03;19:02;lddora;1051;0:59;17.573;0;V12S;ldnsta;18:25
z092;lddora;18:32;19:23;ldnvin;1052;0:51;17.95;1;V12S;ldnsta;19:05
z092;ldnvin;18:39;19:32;lddora;1053;0:53;17.573;0;V12S;ldnsta;19:01
z092;lddora;19:02;19:50;ldnvin;1054;0:48;17.95;1;V12S;ldnsta;19:32
z092;ldnvin;19:12;20:02;lddora;1055;0:50;17.573;0;V12S;ldnsta;19:31
z092;lddora;19:32;20:20;ldnvin;1056;0:48;17.95;1;V12S;ldnsta;20:02
z092;ldnvin;19:42;20:32;lddora;1057;0:50;17.573;0;V12S;ldnsta;20:01
z092;lddora;20:02;20:50;ldnvin;1058;0:48;17.95;1;V12S;ldnsta;20:32
z092;ldnvin;20:12;21:02;lddora;1059;0:50;17.573;0;V12S;ldnsta;20:31
z092;lddora;20:32;21:20;ldnvin;1060;0:48;17.95;1;V12S;ldnsta;21:02
z092;ldnvin;20:43;21:32;lddora;1061;0:49;17.573;0;V12S;ldnsta;21:02
z092;lddora;21:02;21:50;ldnvin;1062;0:48;17.95;1;V12S;ldnsta;21:32
z092;ldnvin;21:13;22:02;lddora;1063;0:49;17.573;0;V12S;ldnsta;21:32
z092;lddora;21:32;22:20;ldnvin;1064;0:48;17.95;1;V12S;ldnsta;22:02
z092;ldnvin;21:43;22:32;lddora;1065;0:49;17.573;0;V12S;ldnsta;22:02
z092;lddora;22:02;22:50;ldnvin;1066;0:48;17.95;1;V12S;ldnsta;22:32
z092;ldnvin;22:13;23:02;lddora;1067;0:49;17.573;0;V12S;ldnsta;22:32
z092;lddora;22:32;23:20;ldnvin;1068;0:48;17.95;1;V12S;ldnsta;23:02
z092;ldnvin;22:43;23:32;lddora;1069;0:49;17.573;0;V12S;ldnsta;23:02
z092;lddora;23:02;23:50;ldnvin;1070;0:48;17.95;1;V12S;ldnsta;23:32
z092;ldnvin;23:13;24:02:00;lddora;1071;0:49;17.573;0;V12S;ldnsta;23:32
z092;lddora;23:32;24:20:00;ldnvin;1072;0:48;17.95;1;V12S;ldnsta;24:02:00
z092;ldnvin;23:43;24:00:00;ldnsta;1073;0:17;6.417;4;V12S;;